zone_id,coordinates
4,"[[[[34.08729683730609, 0.465723044588417], [34.08726384857103, 0.465771028203059], [34.0872188639323, 0.465744037419823], [34.08701934872903, 0.465844643415924], [34.08711798171468, 0.466143208129255], [34.087451201260805, 0.465963269574346], [34.08729683730609, 0.465723044588417]]]]"
74,"[[[[34.08436540082791, 0.463098659508668], [34.08436740014519, 0.463046677259472], [34.0843883929766, 0.463025684428066], [34.08437939604885, 0.463004691596659], [34.0844483724949, 0.462941713102441], [34.084499355085455, 0.462978700472061], [34.08470728408224, 0.462813756796728], [34.08455946056041, 0.462668481175225], [34.08426778866902, 0.462893339998442], [34.08419196005414, 0.462938714126526], [34.08424544179129, 0.462978200642742], [34.084229447253094, 0.463006690913936], [34.08436540082791, 0.463098659508668]]]]"
79,"[[[[34.08659862267256, 0.467446855126041], [34.08653813143456, 0.467349176651568], [34.08727096790802, 0.467010029054919], [34.087320550889984, 0.467123078253802], [34.08734930901952, 0.467142911446588], [34.087400503448414, 0.467262654348037], [34.087319559230345, 0.467304551967798], [34.08726501795018, 0.467203402684587], [34.08714800211275, 0.467252241921824], [34.087127673090144, 0.467209104727513], [34.086996774017756, 0.467266620986594], [34.08698388244244, 0.467231417069398], [34.08685794166825, 0.467289924988118], [34.08686042081734, 0.467304056137978], [34.08659862267256, 0.467446855126041]]]]"
80,"[[[[34.08319371798169, 0.468083748529386], [34.08334048360832, 0.468368024292658], [34.08340527203809, 0.46834158003561], [34.08338874437744, 0.468311169140004], [34.08341783306018, 0.468298608117906], [34.08342179969873, 0.468315796884987], [34.08351171017271, 0.468278774925119], [34.08349319919277, 0.468246380710235], [34.083637320393684, 0.468182914493318], [34.08362079273303, 0.468141925894893], [34.083730536399784, 0.468109531680008], [34.0836201316266, 0.467882772175816], [34.08319371798169, 0.468083748529386]]]]"
81,"[[[[34.0855794857973, 0.467611387987854], [34.085478336514086, 0.467650393267001], [34.08551486264413, 0.467722123314245], [34.08611349451307, 0.467436855891333], [34.08608729817091, 0.467375620908605], [34.08602317084757, 0.467404048484932], [34.08599168565402, 0.467332814267508], [34.08596557195018, 0.467346697502458], [34.085936813820645, 0.467294800648], [34.08596953858874, 0.467279264646984], [34.08595367203451, 0.467243812814878], [34.08591929450035, 0.467264968220517], [34.085894833562584, 0.467211749153207], [34.08585880326236, 0.467228276813862], [34.08583731730351, 0.467177702172257], [34.08573071389229, 0.467234226771698], [34.085711707082524, 0.467190924300781], [34.08570476546505, 0.467194229832912], [34.08567534622908, 0.467140019105962], [34.08563766316279, 0.467159191192323], [34.08573864716941, 0.467367770269794], [34.085696336358126, 0.467388264569006], [34.0856756767823, 0.467347523885491], [34.085603946735056, 0.467379256993949], [34.085621796608564, 0.467443880147112], [34.08548726145083, 0.467497429767635], [34.08552395285749, 0.467589571475789], [34.08556361924306, 0.46757370492156], [34.0855794857973, 0.467611387987854]]]]"
82,"[[[[34.08481004055544, 0.468045982824788], [34.084769713063444, 0.467961361202232], [34.0854698247688, 0.467650641181911], [34.08549891345155, 0.46772071846309], [34.08481004055544, 0.468045982824788]]]]"
83,"[[[[34.08543544723466, 0.46805358554869], [34.08536801437917, 0.467905167156004], [34.08643884151304, 0.46743627742321], [34.08648495368626, 0.467523708748078], [34.08645983164206, 0.467554119643683], [34.08641438057528, 0.467538748919274], [34.086344799123914, 0.467577919475027], [34.0863342214211, 0.467558086282241], [34.08624959979854, 0.467588497177847], [34.08621522226438, 0.467614941434895], [34.08622910549933, 0.467644691224075], [34.08543544723466, 0.46805358554869]]]]"
84,"[[[[34.07868836032529, 0.471926181716856], [34.07904701056152, 0.471786357707712], [34.07894486961866, 0.471535798372176], [34.07897924715282, 0.471517287392242], [34.07896503336467, 0.471474315474538], [34.07907345481856, 0.471439937940375], [34.07929823100348, 0.471336805337885], [34.079255920192196, 0.471257472566739], [34.07954548480688, 0.47114376226143], [34.07998908721887, 0.472264998760292], [34.078979577706036, 0.47265934874353], [34.07868836032529, 0.471926181716856]]]]"
85,"[[[[34.079559202765225, 0.4711480594532], [34.07961423987521, 0.471210203457265], [34.07965060072865, 0.471204253499429], [34.079664483963604, 0.471236647714313], [34.079627462003735, 0.471245242097854], [34.07975175001185, 0.471500759731587], [34.08007850186302, 0.471375480063819], [34.080143951399215, 0.471070710001333], [34.0808316673591, 0.470929894332549], [34.08080456199562, 0.470851553221042], [34.080896125235654, 0.470815853474027], [34.08102404932912, 0.47107794085287], [34.08140187165169, 0.471133184558611], [34.08152087080841, 0.471069718341694], [34.081375427394654, 0.470755073001967], [34.08105346856509, 0.470742511979868], [34.08101776881807, 0.470616240652461], [34.08128948355923, 0.470443650556067], [34.08124056168371, 0.470200032838007], [34.079559202765225, 0.4711480594532]]]]"
86,"[[[[34.07772777268803, 0.469923896947607], [34.07775653081757, 0.469923566394394], [34.0777624807754, 0.469999924186621], [34.07782991363087, 0.46997744656813], [34.07778958613888, 0.469841919750756], [34.0780222956009, 0.469771181363151], [34.078032212197286, 0.469874479242247], [34.07807915075356, 0.469868529284411], [34.07849102005708, 0.471269744354776], [34.078409373413464, 0.471305609378398], [34.07837764030501, 0.471235532097219], [34.07829566310816, 0.471186610221679], [34.077854044015446, 0.471277842908497], [34.07772777268803, 0.469923896947607]]]]"
87,"[[[[34.083906072649235, 0.471379372181523], [34.08346103765586, 0.471233372559191], [34.083432893150345, 0.470900915587856], [34.08348214603499, 0.470897397524667], [34.08339947155005, 0.470505133479123], [34.08370730207907, 0.470448844468104], [34.0838533017014, 0.471048674241783], [34.08391622466723, 0.471230656437326], [34.08410067336014, 0.471171156858966], [34.083979856160745, 0.470820357261556], [34.08394200781785, 0.470833000921957], [34.08385573342922, 0.470616571205674], [34.08377094653006, 0.470656402867854], [34.083739378698205, 0.470469475025841], [34.083833421087334, 0.47036832574263], [34.08384201547087, 0.470381547871155], [34.083868459727924, 0.470365020210499], [34.08384994874799, 0.470337253740598], [34.08396696458543, 0.470287009652206], [34.08397423675612, 0.470313453909254], [34.084038694632675, 0.470291472120583], [34.08405918893189, 0.470333121825434], [34.084132571745194, 0.47030072761055], [34.08413323285162, 0.470288166588452], [34.08428330401037, 0.470224039265109], [34.08431040937385, 0.470309983100517], [34.08457485194433, 0.470211478243011], [34.0845536965387, 0.470157928622487], [34.084749384040855, 0.470087851341308], [34.084828716812005, 0.470495092899857], [34.08482342796059, 0.471100666386271], [34.083906072649235, 0.471379372181523]]]]"
88,"[[[[34.08411455659507, 0.468514665961824], [34.0842970219687, 0.4688141471729], [34.084377676952705, 0.468772497468048], [34.08440478231618, 0.468824063769293], [34.08448874283231, 0.468783075170868], [34.08432082180005, 0.46840888893363], [34.08411455659507, 0.468514665961824]]]]"
93,"[[[[33.87984775997365, 0.341700562227052], [33.879921068273795, 0.34167657041973], [33.87991440388287, 0.341657910125147], [33.87995305735023, 0.34164391490421], [33.87988374768463, 0.341500630499375], [33.879938395690196, 0.341479804277742], [33.879902907808535, 0.341412077404991], [33.87985259165707, 0.34141307706363], [33.87984426116842, 0.341368425644449], [33.87972363569272, 0.341424739747744], [33.87984775997365, 0.341700562227052]]]]"
94,"[[[[34.097686289534856, 0.4642485480968], [34.09709948991412, 0.46438450167162], [34.0971874598743, 0.464716388339563], [34.09726243427218, 0.464688897727008], [34.09752559440879, 0.465208595261638], [34.097650301823876, 0.465152739335218], [34.0977055329637, 0.465259577852196], [34.09776426290865, 0.465341174988554], [34.09768828885213, 0.465397155872303], [34.097961945404435, 0.465463508214426], [34.098180120902256, 0.465268324865282], [34.09817412295043, 0.465261327254813], [34.09821985733312, 0.465218466890692], [34.09822785460222, 0.465228463477076], [34.09839229844823, 0.465076515364042], [34.09838130220321, 0.465060020996508], [34.098427786329886, 0.465017410547047], [34.098306327805325, 0.464878707910971], [34.09827483855821, 0.464906198523527], [34.098192366720546, 0.464810731123561], [34.09821735818651, 0.464790737950793], [34.09819086723259, 0.464761123063631], [34.09809140119807, 0.464851092341086], [34.09797419122271, 0.464713389363648], [34.098086402904876, 0.46462579427546], [34.097910462984515, 0.464420364425272], [34.097782006849485, 0.464546696285698], [34.09776576239661, 0.464525703454292], [34.09775576581023, 0.464535700040676], [34.09758432435374, 0.464339017203573], [34.097686289534856, 0.4642485480968]]]]"
95,"[[[[34.09900433944959, 0.465438954099121], [34.09904382596581, 0.465490936348317], [34.09905082357628, 0.46547044334623], [34.09909605812968, 0.465487999851067], [34.09908681128726, 0.465566410575515], [34.09930898541966, 0.465624953084525], [34.09938895811073, 0.465439016577786], [34.09950816740333, 0.465486437884444], [34.09952266245359, 0.465465445053038], [34.09974583624463, 0.465571971176691], [34.099741837610075, 0.465579468616479], [34.09976557950274, 0.465589215288203], [34.09973808889016, 0.465647133010565], [34.09972059486399, 0.465640135400096], [34.09968810595824, 0.465709111846144], [34.09976807864931, 0.46574297528252], [34.09980506601894, 0.465797456678312], [34.0998015672137, 0.465824947290867], [34.09978457301685, 0.465856936367296], [34.099814562776004, 0.465859373035227], [34.099800567555064, 0.465939970512946], [34.10001349484504, 0.465955965051161], [34.1000044979173, 0.465920976998817], [34.1001139605382, 0.465888675529064], [34.099986004232484, 0.465385597319297], [34.09999400150159, 0.46537453859561], [34.09996751054768, 0.465243333399322], [34.09900433944959, 0.465438954099121]]]]"
